id,date,round,home_team_name,home_goals,away_team_name,away_goals,league,country,start_season,end_season,home_team_id,away_team_id,season_id,league_id
518,2018-02-17 19:45:00,25,Genoa,2,Internazionale,0,Serie A,Italy,2017-08-19,2018-05-20,11,22,5,1
519,2018-02-17 17:00:00,25,Chievo,2,Cagliari,1,Serie A,Italy,2017-08-19,2018-05-20,26,3,5,1
520,2018-02-17 14:00:00,25,Udinese,0,Roma,2,Serie A,Italy,2017-08-19,2018-05-20,24,19,5,1
521,2018-02-11 19:45:00,24,Roma,5,Benevento,2,Serie A,Italy,2017-08-19,2018-05-20,19,17,5,1
522,2018-02-11 14:00:00,24,Internazionale,2,Bologna,1,Serie A,Italy,2017-08-19,2018-05-20,22,27,5,1
523,2018-02-11 14:00:00,24,Chievo,0,Genoa,1,Serie A,Italy,2017-08-19,2018-05-20,26,11,5,1
524,2018-02-11 14:00:00,24,Sampdoria,2,Hellas Verona,0,Serie A,Italy,2017-08-19,2018-05-20,25,12,5,1
525,2018-02-11 14:00:00,24,Torino,2,Udinese,0,Serie A,Italy,2017-08-19,2018-05-20,7,24,5,1
526,2018-02-11 11:30:00,24,Sassuolo,0,Cagliari,0,Serie A,Italy,2017-08-19,2018-05-20,9,3,5,1
527,2018-02-10 19:45:00,24,Napoli,4,Lazio,1,Serie A,Italy,2017-08-19,2018-05-20,8,23,5,1
528,2018-02-10 17:00:00,24,Crotone,1,Atalanta,1,Serie A,Italy,2017-08-19,2018-05-20,14,2,5,1
529,2018-02-10 14:00:00,24,SPAL,0,Milan,4,Serie A,Italy,2017-08-19,2018-05-20,16,18,5,1
530,2018-02-09 19:45:00,24,Fiorentina,0,Juventus,2,Serie A,Italy,2017-08-19,2018-05-20,4,20,5,1
531,2018-02-05 19:45:00,23,Lazio,1,Genoa,2,Serie A,Italy,2017-08-19,2018-05-20,23,11,5,1
532,2018-02-04 19:45:00,23,Benevento,0,Napoli,2,Serie A,Italy,2017-08-19,2018-05-20,17,8,5,1
533,2018-02-04 14:00:00,23,Atalanta,1,Chievo,0,Serie A,Italy,2017-08-19,2018-05-20,2,26,5,1
534,2018-02-04 14:00:00,23,Bologna,1,Fiorentina,2,Serie A,Italy,2017-08-19,2018-05-20,27,4,5,1
535,2018-02-04 14:00:00,23,Udinese,1,Milan,1,Serie A,Italy,2017-08-19,2018-05-20,24,18,5,1
536,2018-02-04 14:00:00,23,Juventus,7,Sassuolo,0,Serie A,Italy,2017-08-19,2018-05-20,20,9,5,1
537,2018-02-04 14:00:00,23,Cagliari,2,SPAL,0,Serie A,Italy,2017-08-19,2018-05-20,3,16,5,1
538,2018-02-04 11:30:00,23,Hellas Verona,0,Roma,1,Serie A,Italy,2017-08-19,2018-05-20,12,19,5,1
539,2018-02-03 19:45:00,23,Internazionale,1,Crotone,1,Serie A,Italy,2017-08-19,2018-05-20,22,14,5,1
540,2018-02-03 17:00:00,23,Sampdoria,1,Torino,1,Serie A,Italy,2017-08-19,2018-05-20,25,7,5,1
541,2018-01-28 19:45:00,22,Roma,0,Sampdoria,1,Serie A,Italy,2017-08-19,2018-05-20,19,25,5,1
542,2018-01-28 17:00:00,22,Milan,2,Lazio,1,Serie A,Italy,2017-08-19,2018-05-20,18,23,5,1
543,2018-01-28 14:00:00,22,Torino,3,Benevento,0,Serie A,Italy,2017-08-19,2018-05-20,7,17,5,1
544,2018-01-28 14:00:00,22,Napoli,3,Bologna,1,Serie A,Italy,2017-08-19,2018-05-20,8,27,5,1
545,2018-01-28 14:00:00,22,Crotone,1,Cagliari,1,Serie A,Italy,2017-08-19,2018-05-20,14,3,5,1
546,2018-01-28 14:00:00,22,Fiorentina,1,Hellas Verona,4,Serie A,Italy,2017-08-19,2018-05-20,4,12,5,1
547,2018-01-28 14:00:00,22,Genoa,0,Udinese,1,Serie A,Italy,2017-08-19,2018-05-20,11,24,5,1
548,2018-01-28 11:30:00,22,SPAL,1,Internazionale,1,Serie A,Italy,2017-08-19,2018-05-20,16,22,5,1
549,2018-01-27 19:45:00,22,Chievo,0,Juventus,2,Serie A,Italy,2017-08-19,2018-05-20,26,20,5,1
550,2018-01-27 17:00:00,22,Sassuolo,0,Atalanta,3,Serie A,Italy,2017-08-19,2018-05-20,9,2,5,1
551,2018-01-24 19:45:00,3,Sampdoria,1,Roma,1,Serie A,Italy,2017-08-19,2018-05-20,25,19,5,1
552,2018-01-24 17:30:00,12,Lazio,3,Udinese,0,Serie A,Italy,2017-08-19,2018-05-20,23,24,5,1
553,2018-01-22 19:45:00,21,Juventus,1,Genoa,0,Serie A,Italy,2017-08-19,2018-05-20,20,11,5,1
554,2018-01-21 19:45:00,21,Internazionale,1,Roma,1,Serie A,Italy,2017-08-19,2018-05-20,22,19,5,1
