"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"462";1,05;0,4235;0,91625;1,08075;0,5;0;1;1;33;15;"1"
"463";0,911;2,1915;1,10633333333333;1,44725;0;1,5;1,33333333333333;1,75;31;38;"1"
"464";0,72475;0,952333333333333;0,2125;1,94066666666667;0,25;0,333333333333333;0;2,33333333333333;14;45;"2"
"466";0,699;2,497;0,92075;1,89566666666667;0;3;1;2,33333333333333;31;56;"X"
"467";1,58366666666667;0,956333333333333;1,474;1,45;2,33333333333333;0;2;1;52;9;"1"
"468";0,873333333333333;1,749;0,389;2,17266666666667;0,333333333333333;3;0;2;22;60;"2"
"469";2,593;0,587333333333333;1,27;1,39566666666667;3;1;1,75;0,333333333333333;50;29;"1"
"470";2,7665;1,73266666666667;1,3225;2,422;3;2;0,5;2;39;54;"X"
"751";1,59833333333333;1,51833333333333;2,332;1,62266666666667;1,66666666666667;2,33333333333333;2,33333333333333;1;72;69;"2"
"752";0,932666666666667;0,986666666666667;1,47666666666667;1,29566666666667;2,33333333333333;2,33333333333333;2;2,33333333333333;43;74;"2"
"753";1,08533333333333;3,3495;1,07166666666667;1,8065;1,33333333333333;2;1;2;36;60;"1"
"754";0,919333333333333;0,752333333333333;1,39133333333333;1,422;1,33333333333333;1,33333333333333;1,33333333333333;1,33333333333333;37;21;"1"
"755";0,8095;0,693;2,15525;1,049;0;0,333333333333333;1;1;37;39;"1"
"756";1,6615;0,718333333333333;0,853;1,27266666666667;2;1;1,75;1,66666666666667;88;35;"1"
"757";0,957666666666667;1,0115;0,683666666666667;1,6585;1,33333333333333;1,5;1,66666666666667;1;61;57;"1"
"758";0,794666666666667;0,372333333333333;0,792333333333333;1,64;1,33333333333333;0;1,33333333333333;2;35;54;"1"
"759";1,876;0,540333333333333;1,01333333333333;1,213;2;0,666666666666667;0;1,33333333333333;41;51;"2"
"760";1,53133333333333;0,793;0,737;0,746666666666667;2;0;1,66666666666667;0;92;25;"1"
"761";1,73866666666667;1,49033333333333;0,986666666666667;1,53133333333333;2;2,33333333333333;2,33333333333333;2;73;91;"X"
"762";1,75533333333333;0,818666666666667;0,372333333333333;2,38533333333333;2,33333333333333;1,33333333333333;0;2,33333333333333;54;85;"2"
"763";1,71266666666667;0,945;2,716;1,21625;2,33333333333333;2;1,66666666666667;1,25;59;60;"X"
"764";2,05633333333333;0,536666666666667;0,884666666666667;1,08533333333333;1,33333333333333;0;2;1,33333333333333;57;33;"2"
"765";0,7215;0,746;0,68825;0,919333333333333;1,5;0,333333333333333;0,25;1,33333333333333;39;34;"2"
"766";1,145;1,87233333333333;0,718333333333333;1,59833333333333;2,33333333333333;3;1;1,66666666666667;34;71;"X"
"767";1,08933333333333;0,872;0,540333333333333;0,744;1,33333333333333;2;0,666666666666667;1,25;48;35;"1"
"768";0,814;2,08233333333333;0,793;0,798;1;0,333333333333333;0;0;25;34;"2"
"769";1,4885;1,17466666666667;1,3635;0,932666666666667;1,5;1,33333333333333;1,75;2,33333333333333;69;40;"2"
"770";1,42866666666667;0,737333333333333;0,752333333333333;1,876;0,333333333333333;0,333333333333333;1,33333333333333;2;18;41;"1"
"771";1,1215;1,52233333333333;0,6925;1,73866666666667;2;1,66666666666667;0;2;33;70;"2"
"772";1,0345;0,799333333333333;1,0505;1,75533333333333;2;1;1,25;2,33333333333333;37;54;"1"
"773";2,32933333333333;2,596;1,87233333333333;1,60225;2,33333333333333;2;3;1,75;70;58;"X"
"774";0,382;0,956;0,671333333333333;1,78625;0,666666666666667;2;1,66666666666667;1;32;18;"1"
"775";0,749666666666667;0,947333333333333;0,746;1,145;0,666666666666667;1;0,333333333333333;2,33333333333333;31;34;"1"
"776";1,45166666666667;1,18;0,737333333333333;2,05633333333333;3;2;0,333333333333333;1,33333333333333;41;54;"2"
"777";2,635;0,654;1,14025;1,37175;3;0,5;1,25;1,75;84;47;"X"
"778";0,713666666666667;1,40575;2,08233333333333;1,4885;0;1,25;0,333333333333333;1,5;34;66;"2"
"779";1,06366666666667;0,511333333333333;1,49033333333333;0,579333333333333;2;0,333333333333333;2,33333333333333;1,33333333333333;88;39;"1"
"780";1,09075;0,817333333333333;0,945;0,814;0,75;0;2;1;57;25;"1"
"781";1,71766666666667;1,3985;1,345;2;2,33333333333333;3;1,33333333333333;2;47;67;"2"
"782";1,744;1,48833333333333;1,18;2,29766666666667;1,33333333333333;1,66666666666667;2;3;51;84;"1"
"783";1,058;0,562;1,11825;1,17;2;0;0,75;1,33333333333333;51;33;"1"
"784";1,878;0,5325;2,596;1,76125;1,75;0,5;2;2,5;55;41;"1"
"785";0,662;0,7955;0,6065;1,09075;2;0,5;0,5;0,75;39;54;"2"
"786";0,6975;0,3715;0,70125;0,302;1,5;1;0;0,75;25;29;"2"
"787";1,825;1,295;0,722666666666667;0,713666666666667;1;0;1,33333333333333;0;17;33;"X"
"788";0,521;0,959666666666667;0,7675;1,302;2;1,66666666666667;0,75;1,66666666666667;31;37;"1"
"789";2,754;1,33733333333333;1,40575;1,06366666666667;3;1,66666666666667;1,25;2;66;85;"2"
"790";1,771;0,403;1,7605;0,63175;1,5;0,5;2;1,25;67;31;"1"
"791";1,834;0,418;0,692;0,565;2,33333333333333;0;0,333333333333333;1;38;25;"1"
"792";1,55;1,41266666666667;1,33733333333333;2,29766666666667;3;1;1,66666666666667;3;85;81;"2"
"793";0,573;0,855333333333333;1,295;0,505666666666667;0;0;0;1,33333333333333;33;28;"2"
"794";0,385666666666667;1,87925;0,568333333333333;2,754;1,66666666666667;1,25;0,333333333333333;3;31;63;"2"
"795";1,78666666666667;1,39733333333333;1,194;0,864333333333333;1,66666666666667;1;2,33333333333333;1,33333333333333;64;51;"1"
"796";1,73466666666667;1,7235;2,858;1,422;1,33333333333333;2;2,33333333333333;1,75;52;47;"1"
"797";1,1785;0,629666666666667;0,86375;0,593;1,5;0,333333333333333;0,75;1,33333333333333;32;38;"X"
"798";1,664;0,8595;0,7955;1,81275;1,5;0,5;0,5;0,75;54;14;"2"
"799";1,592;1,813;0,9415;1,744;1;3;2;1,33333333333333;34;51;"1"
"800";0,326;1,879;0,408333333333333;1,64766666666667;1;1,66666666666667;1;2;29;64;"2"
"801";0,6245;0,993;1,25825;0,593;0,5;0,333333333333333;0,75;1,33333333333333;48;38;"1"
"802";0,395;0,663666666666667;0,408333333333333;0,385666666666667;1,66666666666667;0;1;1,66666666666667;28;30;"X"
"803";1,5615;0,631;1,8445;1,60875;1,5;0,5;2;1,75;61;38;"1"
"804";1,24133333333333;1,6795;0,855333333333333;1,6845;2;2;0;3;27;84;"X"
"805";1,875;0,989;1,813;1,386;2,33333333333333;2;3;1,25;51;61;"2"
"806";1,41566666666667;0,907;1,45366666666667;1,664;2;1,5;1,33333333333333;1,5;46;53;"X"
"807";0,493;0,618333333333333;0,418;1,775;2;1,66666666666667;0;1;25;31;"2"
"808";2,58266666666667;0,601;1,41266666666667;0,573;2;0;1;0;78;33;"1"
"809";2,169;1,72233333333333;0,976;1,73466666666667;1;1,33333333333333;0,333333333333333;1,33333333333333;14;49;"2"
"810";1,6605;1,15166666666667;1,87925;1,30966666666667;2;1;1,25;1,33333333333333;60;32;"1"
"811";1,638;2,22666666666667;1,12166666666667;1,24666666666667;1,33333333333333;2,33333333333333;2,33333333333333;1;60;60;"X"
"812";1,46366666666667;1,408;1,46166666666667;0,67;3;1;2,33333333333333;1,33333333333333;81;48;"1"
"813";1,56166666666667;0,620666666666667;0,618333333333333;2,169;0,666666666666667;0;1,66666666666667;1;30;13;"X"
"814";0,843333333333333;0,342;0,993;0,61525;1,33333333333333;0;0,333333333333333;2,25;35;25;"1"
"816";1,47633333333333;0,691;1,813;0,395;3;1,66666666666667;3;1,66666666666667;50;27;"X"
"817";1,967;2,15366666666667;1,555;1,393;1,5;1,33333333333333;1,75;2,33333333333333;48;59;"X"
"818";1,541;0,99;0,687666666666667;1,2395;1,33333333333333;0;0,333333333333333;1,5;35;27;"1"
"819";0,3;1,56933333333333;0,5665;1,41566666666667;2;1;0;2;29;45;"X"
"820";1,04966666666667;0,692666666666667;1,15166666666667;0,573;0,333333333333333;0;1;0;29;33;"1"
"822";0,479;1,086;0,692666666666667;1,758;0;2;0;1,75;33;57;"2"
"823";1,47666666666667;1,1525;1,37433333333333;0,89525;1;0,5;0;1,75;24;35;"1"
